EXP	RFLAG	NAME	TYPE	GENE	LINK	CH1I	CH1B	CH1D	CH2I	CH2B	CH2D	CH2IN	CH2BN	CH2DN	RAT1	RAT2	RAT1N	RAT2N	CRT1	CRT2	REGR	CORR	PLAT	PROW	PCOL	FLAG	SPOT	LEFT	TOP	RIGHT	BOT	FAILED	CAT	DESC	CHR	
y744n32		GENOMIC 450NG/UL	CONTROL			331	215	116	370	256	114	462	319	143	  1.02	  0.98	  0.81	  1.23	  1.00	  1.00	  0.80	  0.89	0	A	1	0	1	34	29	43	38	0			0	
y744n32		GENOMIC 150NG/UL	CONTROL			542	201	341	738	229	509	921	286	635	  0.67	  1.49	  0.54	  1.86	  0.72	  1.40	  0.46	  0.88	0	A	2	0	1937	486	26	495	35	0			0	
y744n32		GENOMIC 450NG/UL	CONTROL			488	223	265	492	270	222	614	337	277	  1.19	  0.84	  0.96	  1.05	  1.00	  1.00	  0.77	  0.78	0	A	3	0	2	44	29	53	38	0			0	
y744n32		GENOMIC 150NG/UL	CONTROL			278	208	70	291	217	74	363	271	92	  0.95	  1.06	  0.76	  1.31	  1.00	  1.00	  0.15	  0.23	0	A	4	0	1938	496	26	505	35	0			0	
y744n32		GENOMIC 50NG/UL	CONTROL			352	210	142	396	256	140	494	319	175	  1.01	  0.99	  0.81	  1.23	  1.00	  1.00	  0.59	  0.71	0	A	5	0	3	54	29	63	38	0			0	
y744n32		3XSSC	CONTROL			320	214	106	334	234	100	417	292	125	  1.06	  0.94	  0.85	  1.18	  1.00	  1.00	  0.81	  0.89	0	A	6	0	1939	506	26	515	35	0			0	
y744n32		GENOMIC 50NG/UL	CONTROL			298	217	81	331	250	81	413	312	101	  1.00	  1.00	  0.80	  1.25	  1.00	  1.00	  0.35	  0.50	0	A	7	0	4	64	29	73	38	0			0	
y744n32		3XSSC	CONTROL			326	214	112	350	242	108	437	302	135	  1.04	  0.96	  0.83	  1.21	  1.00	  1.00	  0.58	  0.79	0	A	8	0	1940	516	26	525	35	0			0	
y744n32		POLY A	CONTROL			397	224	173	539	280	259	673	349	324	  0.67	  1.50	  0.53	  1.87	  0.92	  1.08	  0.43	  0.84	0	A	9	0	5	74	29	83	38	0			0	
y744n32		LAMBDA	CONTROL			773	224	549	871	250	621	1087	312	775	  0.88	  1.13	  0.71	  1.41	  0.87	  1.15	  0.72	  0.94	0	A	10	0	1941	526	26	535	35	0			0	
y744n32		POLY A	CONTROL			283	217	66	312	251	61	389	313	76	  1.08	  0.92	  0.87	  1.15	  1.00	  1.00	  0.11	  0.14	0	A	11	0	6	84	29	93	38	0			0	
y744n32		LAMBDA	CONTROL			407	215	192	479	248	231	598	309	289	  0.83	  1.20	  0.66	  1.51	  1.00	  1.00	  0.54	  0.96	0	A	12	0	1942	536	26	545	35	0			0	
y744n32		GENOMIC 450NG/UL	CONTROL			369	201	168	353	229	124	440	286	154	  1.35	  0.74	  1.09	  0.92	  1.00	  1.00	  1.10	  0.85	0	B	1	0	3873	27	477	36	486	0			0	
y744n32		GENOMIC 150NG/UL	CONTROL			276	210	66	280	207	73	349	258	91	  0.90	  1.11	  0.73	  1.38	  1.00	  1.00	  0.49	  0.45	0	B	2	0	5809	492	475	501	484	0			0	
