EXP	RFLAG	NAME	TYPE	GENE	LINK	CH1I	CH1B	CH1D	CH2I	CH2B	CH2D	CH2IN	CH2BN	CH2DN	RAT1	RAT2	RAT1N	RAT2N	CRT1	CRT2	REGR	CORR	PLAT	PROW	PCOL	FLAG	SPOT	LEFT	TOP	RIGHT	BOT	FAILED	CAT	DESC	CHR	
y744n88		GENOMIC 450NG/UL	CONTROL			719	335	384	699	390	309	889	496	393	  1.24	  0.80	  0.98	  1.02	  1.00	  1.00	  0.84	  0.72	0	A	1	0	1	79	22	88	31	0			0	
y744n88		GENOMIC 150NG/UL	CONTROL			317	225	92	391	298	93	497	379	118	  0.99	  1.01	  0.78	  1.28	  1.00	  1.00	  0.47	  0.42	0	A	2	0	1937	532	21	541	30	0			0	
y744n88		GENOMIC 450NG/UL	CONTROL			822	233	589	716	315	401	911	400	511	  1.47	  0.68	  1.15	  0.87	  1.00	  1.00	  1.09	  0.79	0	A	3	0	2	89	22	98	31	0			0	
y744n88		GENOMIC 150NG/UL	CONTROL			417	236	181	511	311	200	650	395	255	  0.91	  1.10	  0.71	  1.41	  1.00	  1.00	  0.33	  0.48	0	A	4	0	1938	542	21	551	30	0			0	
y744n88		GENOMIC 50NG/UL	CONTROL			476	272	204	510	359	151	649	457	192	  1.35	  0.74	  1.06	  0.94	  1.00	  1.00	  0.85	  0.74	0	A	5	0	3	99	22	108	31	0			0	
y744n88		3XSSC	CONTROL			351	235	116	403	292	111	513	371	142	  1.05	  0.96	  0.82	  1.22	  1.00	  1.00	  0.99	  0.81	0	A	6	0	1939	552	21	561	30	0			0	
y744n88		GENOMIC 50NG/UL	CONTROL			421	250	171	502	351	151	639	446	193	  1.13	  0.88	  0.89	  1.13	  1.00	  1.00	  0.65	  0.64	0	A	7	0	4	109	22	118	31	0			0	
y744n88		3XSSC	CONTROL			445	248	197	474	309	165	603	393	210	  1.19	  0.84	  0.94	  1.07	  1.00	  1.00	  1.03	  0.84	0	A	8	0	1940	562	21	571	30	0			0	
y744n88		POLY A	CONTROL			591	269	322	632	367	265	804	467	337	  1.22	  0.82	  0.96	  1.05	  1.00	  1.00	  0.75	  0.81	0	A	9	0	5	119	22	128	31	0			0	
y744n88		LAMBDA	CONTROL			991	256	735	915	334	581	1164	425	739	  1.27	  0.79	  0.99	  1.01	  1.00	  1.00	  0.88	  0.85	0	A	10	0	1941	572	21	581	30	0			0	
y744n88		POLY A	CONTROL			488	310	178	520	376	144	661	478	183	  1.24	  0.81	  0.97	  1.03	  1.00	  1.00	  0.62	  0.57	0	A	11	0	6	129	22	138	31	0			0	
y744n88		LAMBDA	CONTROL			517	254	263	591	337	254	752	429	323	  1.04	  0.97	  0.81	  1.23	  1.00	  1.00	  0.80	  0.88	0	A	12	0	1942	582	21	591	30	0			0	
y744n88		GENOMIC 450NG/UL	CONTROL			776	527	249	651	484	167	828	616	212	  1.49	  0.67	  1.17	  0.85	  1.00	  1.00	  0.89	  0.86	0	B	1	1	3873	69	470	78	479	0			0	
y744n88		GENOMIC 150NG/UL	CONTROL			539	215	324	1368	272	1096	1741	346	1395	  0.30	  3.38	  0.23	  4.31	  0.29	  3.48	  0.13	  0.95	0	B	2	0	5809	533	472	542	481	0			0	
y744n88		GENOMIC 450NG/UL	CONTROL			832	291	541	730	294	436	929	374	555	  1.24	  0.81	  0.97	  1.03	  1.00	  1.00	  1.05	  0.90	0	B	3	1	3874	79	470	88	479	0			0	
y744n88		GENOMIC 150NG/UL	CONTROL			419	243	176	408	306	102	519	389	130	  1.73	  0.58	  1.35	  0.74	  1.00	  1.00	  0.92	  0.67	0	B	4	0	5810	543	472	552	481	0			0	
y744n88		GENOMIC 50NG/UL	CONTROL			381	218	163	378	245	133	481	311	170	  1.23	  0.82	  0.96	  1.04	  1.00	  1.00	  0.91	  0.85	0	B	5	0	3875	89	470	98	479	0			0	
y744n88		3XSSC	CONTROL			358	238	120	384	280	104	488	356	132	  1.15	  0.87	  0.91	  1.10	  1.00	  1.00	  1.08	  0.80	0	B	6	0	5811	553	472	562	481	0			0	
y744n88		GENOMIC 50NG/UL	CONTROL			436	263	173	428	293	135	544	372	172	  1.28	  0.78	  1.01	  0.99	  1.00	  1.00	  0.69	  0.71	0	B	7	0	3876	99	470	108	479	0			0	
y744n88		3XSSC	CONTROL			406	244	162	429	287	142	546	365	181	  1.14	  0.88	  0.90	  1.12	  1.00	  1.00	  0.82	  0.90	0	B	8	0	5812	563	472	572	481	0			0	
y744n88		POLY A	CONTROL			518	276	242	496	305	191	631	388	243	  1.27	  0.79	  1.00	  1.00	  1.00	  1.00	  0.98	  0.92	0	B	9	0	3877	109	470	118	479	0			0	
y744n88		LAMBDA	CONTROL			512	238	274	496	251	245	631	319	312	  1.12	  0.89	  0.88	  1.14	  1.00	  1.00	  1.03	  0.95	0	B	10	0	5813	573	472	582	481	0			0	
y744n88		POLY A	CONTROL			416	265	151	411	279	132	523	355	168	  1.14	  0.87	  0.90	  1.11	  1.00	  1.00	  0.83	  0.92	0	B	11	0	3878	119	470	128	479	0			0	
y744n88		LAMBDA	CONTROL			390	222	168	419	269	150	533	342	191	  1.12	  0.89	  0.88	  1.14	  1.00	  1.00	  1.05	  0.88	0	B	12	0	5814	583	472	592	481	0			0	
y744n88		SALMON SPERM	CONTROL			518	337	181	512	377	135	651	479	172	  1.34	  0.75	  1.05	  0.95	  1.00	  1.00	  0.82	  0.61	0	C	1	0	7	139	22	148	31	0			0	
y744n88		PBR322	CONTROL			552	259	293	533	345	188	678	439	239	  1.56	  0.64	  1.23	  0.82	  1.00	  1.00	  1.22	  0.81	0	C	2	0	1943	592	21	601	30	0			0	
y744n88		SALMON SPERM	CONTROL			763	309	454	669	365	304	851	464	387	  1.49	  0.67	  1.17	  0.85	  1.00	  1.00	  1.12	  0.92	0	C	3	0	8	149	22	158	31	0			0	
y744n88		PBR322	CONTROL			756	279	477	682	352	330	868	448	420	  1.45	  0.69	  1.14	  0.88	  1.00	  1.00	  1.04	  0.88	0	C	4	0	1944	602	21	611	30	0			0	
y744n88		PKRX PLASMID CONTAINING LACZ	CONTROL			442	264	178	493	352	141	627	448	179	  1.26	  0.79	  0.99	  1.01	  1.00	  1.00	  0.88	  0.73	0	C	5	0	9	159	22	168	31	0			0	
y744n88		PKRX PLASMID CONTAINING LACZ	CONTROL			382	253	129	472	343	129	600	436	164	  1.00	  1.00	  0.79	  1.27	  1.00	  1.00	  0.60	  0.68	0	C	6	0	1945	612	21	621	30	0			0	
y744n88		PLASMID CONTAINING GFP	CONTROL			439	262	177	495	335	160	630	426	204	  1.11	  0.90	  0.87	  1.15	  1.00	  1.00	  0.87	  0.80	0	C	7	0	10	169	22	178	31	0			0	
y744n88		PLASMID CONTAINING GFP	CONTROL			399	239	160	486	335	151	618	426	192	  1.06	  0.94	  0.83	  1.20	  1.00	  1.00	  0.72	  0.81	0	C	8	0	1946	622	21	631	30	0			0	
y744n88		3XSSC	CONTROL			416	259	157	476	334	142	605	425	180	  1.11	  0.90	  0.87	  1.15	  1.00	  1.00	  0.47	  0.59	0	C	9	0	11	179	22	188	31	0			0	
y744n88		3XSSC	CONTROL			417	265	152	531	389	142	675	495	180	  1.07	  0.93	  0.84	  1.18	  1.00	  1.00	  0.69	  0.74	0	C	10	0	1947	632	21	641	30	0			0	
y744n88		3XSSC	CONTROL			414	243	171	465	318	147	591	404	187	  1.16	  0.86	  0.91	  1.09	  1.00	  1.00	  0.73	  0.67	0	C	11	0	12	189	22	198	31	0			0	
y744n88		3XSSC	CONTROL			480	254	226	579	361	218	737	459	278	  1.04	  0.96	  0.81	  1.23	  1.00	  1.00	  0.78	  0.88	0	C	12	0	1948	642	21	651	30	0			0	
y744n88		SALMON SPERM	CONTROL			420	271	149	389	271	118	495	344	151	  1.26	  0.79	  0.99	  1.01	  1.00	  1.00	  1.01	  0.87	0	D	1	0	3879	129	470	138	479	0			0	
y744n88		PBR322	CONTROL			342	203	139	363	250	113	462	318	144	  1.23	  0.81	  0.97	  1.04	  1.00	  1.00	  1.05	  0.87	0	D	2	0	5815	593	472	602	481	0			0	
y744n88		SALMON SPERM	CONTROL			487	270	217	439	288	151	558	366	192	  1.44	  0.70	  1.13	  0.88	  1.00	  1.00	  0.99	  0.93	0	D	3	0	3880	139	470	148	479	0			0	
y744n88		PBR322	CONTROL			551	207	344	532	259	273	677	329	348	  1.26	  0.79	  0.99	  1.01	  1.00	  1.00	  1.05	  0.95	0	D	4	0	5816	603	472	612	481	0			0	
y744n88		PKRX PLASMID CONTAINING LACZ	CONTROL			468	262	206	449	293	156	571	372	199	  1.32	  0.76	  1.04	  0.97	  1.00	  1.00	  1.10	  0.91	0	D	5	0	3881	149	470	158	479	0			0	
y744n88		PKRX PLASMID CONTAINING LACZ	CONTROL			358	225	133	420	267	153	534	339	195	  0.87	  1.15	  0.68	  1.47	  1.00	  1.00	  0.90	  0.90	0	D	6	0	5817	613	472	622	481	0			0	
y744n88		PLASMID CONTAINING GFP	CONTROL			429	246	183	413	260	153	525	330	195	  1.20	  0.84	  0.94	  1.07	  1.00	  1.00	  0.80	  0.81	0	D	7	0	3882	159	470	168	479	0			0	
y744n88		PLASMID CONTAINING GFP	CONTROL			297	194	103	340	240	100	432	305	127	  1.03	  0.97	  0.81	  1.23	  1.00	  1.00	  0.60	  0.78	0	D	8	0	5818	623	472	632	481	0			0	
y744n88		3XSSC	CONTROL			399	259	140	385	250	135	490	318	172	  1.04	  0.96	  0.81	  1.23	  1.00	  1.00	  0.83	  0.90	0	D	9	0	3883	169	470	178	479	0			0	
y744n88		3XSSC	CONTROL			315	210	105	350	250	100	445	318	127	  1.05	  0.95	  0.83	  1.21	  1.00	  1.00	  0.47	  0.74	0	D	10	0	5819	633	472	642	481	0			0	
y744n88		3XSSC	CONTROL			511	245	266	498	265	233	633	337	296	  1.14	  0.88	  0.90	  1.11	  1.00	  1.00	  0.84	  0.92	0	D	11	0	3884	179	470	188	479	0			0	
y744n88		3XSSC	CONTROL			312	216	96	347	231	116	441	294	147	  0.83	  1.21	  0.65	  1.53	  1.00	  1.00	  0.68	  0.80	0	D	12	0	5820	643	472	652	481	0			0	
y744n88		3XSSC	CONTROL			356	237	119	402	308	94	511	392	119	  1.27	  0.79	  1.00	  1.00	  1.00	  1.00	  0.88	  0.72	0	E	1	0	13	199	22	208	31	0			0	
