EXP	RFLAG	NAME	TYPE	GENE	LINK	CH1I	CH1B	CH1D	CH2I	CH2B	CH2D	CH2IN	CH2BN	CH2DN	RAT1	RAT2	RAT1N	RAT2N	CRT1	CRT2	REGR	CORR	PLAT	PROW	PCOL	FLAG	SPOT	LEFT	TOP	RIGHT	BOT	FAILED	CAT	DESC	CHR	
y744n102		GENOMIC 450NG/UL	CONTROL			438	210	228	408	203	205	478	237	241	  1.11	  0.90	  0.95	  1.06	  1.00	  1.00	  0.83	  0.90	0	A	1	0	1	57	20	66	29	0			0	
y744n102		GENOMIC 150NG/UL	CONTROL			274	191	83	264	194	70	309	227	82	  1.19	  0.84	  1.01	  0.99	  1.00	  1.00	  0.18	  0.19	0	A	2	0	1937	511	23	520	32	0			0	
y744n102		GENOMIC 450NG/UL	CONTROL			555	226	329	552	207	345	646	242	404	  0.95	  1.05	  0.81	  1.23	  1.00	  1.00	  0.72	  0.91	0	A	3	0	2	67	20	76	29	0			0	
y744n102		GENOMIC 150NG/UL	CONTROL			303	206	97	292	201	91	342	235	107	  1.07	  0.94	  0.91	  1.10	  1.00	  1.00	  0.73	  0.84	0	A	4	0	1938	521	23	530	32	0			0	
y744n102		GENOMIC 50NG/UL	CONTROL			550	210	340	545	219	326	638	256	382	  1.04	  0.96	  0.89	  1.12	  1.00	  1.00	  0.71	  0.86	0	A	5	0	3	77	20	86	29	0			0	
y744n102		3XSSC	CONTROL			304	203	101	295	195	100	345	228	117	  1.01	  0.99	  0.86	  1.16	  1.00	  1.00	  1.28	  0.70	0	A	6	0	1939	531	23	540	32	0			0	
y744n102		GENOMIC 50NG/UL	CONTROL			367	227	140	330	201	129	386	235	151	  1.09	  0.92	  0.93	  1.08	  1.00	  1.00	  0.94	  0.85	0	A	7	0	4	87	20	96	29	0			0	
y744n102		3XSSC	CONTROL			474	234	240	442	216	226	517	253	264	  1.06	  0.94	  0.91	  1.10	  1.00	  1.00	  0.88	  0.93	0	A	8	0	1940	541	23	550	32	0			0	
y744n102		POLY A	CONTROL			528	248	280	681	212	469	797	248	549	  0.60	  1.68	  0.51	  1.96	  0.65	  1.54	  0.46	  0.90	0	A	9	0	5	97	20	106	29	0			0	
y744n102		LAMBDA	CONTROL			925	243	682	1164	227	937	1363	265	1098	  0.73	  1.37	  0.62	  1.61	  0.69	  1.44	  0.63	  0.85	0	A	10	0	1941	551	23	560	32	0			0	
y744n102		POLY A	CONTROL			350	215	135	310	190	120	363	222	141	  1.12	  0.89	  0.96	  1.04	  1.00	  1.00	  1.21	  0.84	0	A	11	0	6	107	20	116	29	0			0	
y744n102		LAMBDA	CONTROL			549	206	343	588	190	398	688	222	466	  0.86	  1.16	  0.74	  1.36	  0.93	  1.07	  0.61	  0.79	0	A	12	0	1942	561	23	570	32	0			0	
y744n102		GENOMIC 450NG/UL	CONTROL			356	251	105	304	203	101	356	237	119	  1.04	  0.96	  0.88	  1.13	  1.00	  1.00	  0.72	  0.74	0	B	1	0	3873	45	468	54	477	0			0	
y744n102		GENOMIC 150NG/UL	CONTROL			319	229	90	268	200	68	313	234	79	  1.32	  0.76	  1.14	  0.88	  1.00	  1.00	  0.93	  0.72	0	B	2	0	5809	509	471	518	480	0			0	
y744n102		GENOMIC 450NG/UL	CONTROL			901	253	648	726	212	514	850	248	602	  1.26	  0.79	  1.08	  0.93	  1.00	  1.00	  0.95	  0.92	0	B	3	0	3874	55	468	64	477	0			0	
y744n102		GENOMIC 150NG/UL	CONTROL			390	236	154	270	184	86	316	215	101	  1.79	  0.56	  1.52	  0.66	  1.00	  1.00	 -0.51	 -0.05	0	B	4	0	5810	519	471	528	480	0			0	
y744n102		GENOMIC 50NG/UL	CONTROL			459	246	213	365	192	173	427	224	203	  1.23	  0.81	  1.05	  0.95	  1.00	  1.00	  1.13	  0.92	0	B	5	0	3875	65	468	74	477	0			0	
y744n102		3XSSC	CONTROL			308	231	77	268	200	68	313	234	79	  1.13	  0.88	  0.97	  1.03	  1.00	  1.00	  0.43	  0.45	0	B	6	0	5811	529	471	538	480	0			0	
y744n102		GENOMIC 50NG/UL	CONTROL			399	242	157	320	190	130	374	222	152	  1.21	  0.83	  1.03	  0.97	  1.00	  1.00	  1.12	  0.89	0	B	7	0	3876	75	468	84	477	0			0	
y744n102		3XSSC	CONTROL			489	266	223	375	187	188	439	219	220	  1.19	  0.84	  1.01	  0.99	  1.00	  1.00	  1.17	  0.94	0	B	8	0	5812	539	471	548	480	0			0	
y744n102		POLY A	CONTROL			578	240	338	581	204	377	680	239	441	  0.90	  1.12	  0.77	  1.30	  0.98	  1.02	  0.71	  0.91	0	B	9	0	3877	85	468	94	477	0			0	
y744n102		LAMBDA	CONTROL			598	237	361	551	193	358	645	226	419	  1.01	  0.99	  0.86	  1.16	  1.00	  1.00	  0.86	  0.96	0	B	10	0	5813	549	471	558	480	0			0	
