EXP	RFLAG	NAME	TYPE	GENE	LINK	CH1I	CH1B	CH1D	CH2I	CH2B	CH2D	CH2IN	CH2BN	CH2DN	RAT1	RAT2	RAT1N	RAT2N	CRT1	CRT2	REGR	CORR	PLAT	PROW	PCOL	FLAG	SPOT	LEFT	TOP	RIGHT	BOT	FAILED	CAT	DESC	CHR	
y744n89		GENOMIC 450NG/UL	CONTROL			323	223	100	316	244	72	418	323	95	  1.39	  0.72	  1.05	  0.95	  1.00	  1.00	  1.34	  0.77	0	A	1	0	1	67	36	76	45	0			0	
y744n89		GENOMIC 150NG/UL	CONTROL			300	216	84	315	251	64	417	332	85	  1.31	  0.76	  0.99	  1.01	  1.00	  1.00	  0.02	  0.02	0	A	2	0	1937	520	38	529	47	0			0	
y744n89		GENOMIC 450NG/UL	CONTROL			485	241	244	398	250	148	527	331	196	  1.65	  0.61	  1.24	  0.80	  1.00	  1.00	  1.63	  0.86	0	A	3	0	2	77	36	86	45	0			0	
y744n89		GENOMIC 150NG/UL	CONTROL			341	216	125	350	259	91	463	342	121	  1.37	  0.73	  1.03	  0.97	  1.00	  1.00	  1.03	  0.74	0	A	4	0	1938	530	38	539	47	0			0	
y744n89		GENOMIC 50NG/UL	CONTROL			387	240	147	350	250	100	463	331	132	  1.47	  0.68	  1.11	  0.90	  1.00	  1.00	  1.96	  0.88	0	A	5	0	3	87	36	96	45	0			0	
y744n89		3XSSC	CONTROL			320	219	101	329	240	89	435	317	118	  1.13	  0.88	  0.86	  1.17	  1.00	  1.00	  0.60	  0.54	0	A	6	0	1939	540	38	549	47	0			0	
y744n89		GENOMIC 50NG/UL	CONTROL			350	229	121	333	250	83	440	331	109	  1.46	  0.69	  1.11	  0.90	  1.00	  1.00	  1.05	  0.80	0	A	7	0	4	97	36	106	45	0			0	
y744n89		3XSSC	CONTROL			471	241	230	441	258	183	583	341	242	  1.26	  0.80	  0.95	  1.05	  1.00	  1.00	  0.97	  0.90	0	A	8	0	1940	550	38	559	47	0			0	
y744n89		POLY A	CONTROL			521	232	289	416	250	166	550	331	219	  1.74	  0.57	  1.32	  0.76	  1.00	  1.00	  1.58	  0.94	0	A	9	0	5	107	36	116	45	0			0	
y744n89		LAMBDA	CONTROL			1197	242	955	980	283	697	1297	374	923	  1.37	  0.73	  1.03	  0.97	  1.00	  1.00	  1.09	  0.96	0	A	10	0	1941	559	38	568	47	0			0	
y744n89		POLY A	CONTROL			336	219	117	325	253	72	430	335	95	  1.62	  0.62	  1.23	  0.81	  1.00	  1.00	  1.14	  0.68	0	A	11	0	6	117	36	126	45	0			0	
y744n89		LAMBDA	CONTROL			394	224	170	379	235	144	501	311	190	  1.18	  0.85	  0.89	  1.12	  1.00	  1.00	  1.24	  0.94	0	A	12	0	1942	570	38	579	47	0			0	
y744n89		GENOMIC 450NG/UL	CONTROL			348	266	82	353	263	90	467	348	119	  0.91	  1.10	  0.69	  1.45	  1.00	  1.00	  0.60	  0.65	0	B	1	0	3873	53	481	62	490	0			0	
y744n89		GENOMIC 150NG/UL	CONTROL			348	248	100	360	281	79	476	372	104	  1.27	  0.79	  0.96	  1.04	  1.00	  1.00	  0.55	  0.54	0	B	2	0	5809	518	487	527	496	0			0	
y744n89		GENOMIC 450NG/UL	CONTROL			625	255	370	524	251	273	693	332	361	  1.36	  0.74	  1.02	  0.98	  1.00	  1.00	  1.08	  0.95	0	B	3	0	3874	63	481	72	490	0			0	
y744n89		GENOMIC 150NG/UL	CONTROL			361	253	108	373	282	91	493	373	120	  1.19	  0.84	  0.90	  1.11	  1.00	  1.00	  0.84	  0.78	0	B	4	0	5810	528	487	537	496	0			0	
y744n89		GENOMIC 50NG/UL	CONTROL			571	257	314	557	248	309	737	328	409	  1.02	  0.98	  0.77	  1.30	  1.00	  1.00	  0.84	  0.96	0	B	5	0	3875	73	481	82	490	0			0	
y744n89		3XSSC	CONTROL			377	273	104	388	287	101	513	380	133	  1.03	  0.97	  0.78	  1.28	  1.00	  1.00	  0.45	  0.59	0	B	6	0	5811	538	487	547	496	0			0	
y744n89		GENOMIC 50NG/UL	CONTROL			518	250	268	464	277	187	614	366	248	  1.43	  0.70	  1.08	  0.93	  1.00	  1.00	  1.07	  0.94	0	B	7	0	3876	83	481	92	490	0			0	
y744n89		3XSSC	CONTROL			458	286	172	439	289	150	581	382	199	  1.15	  0.87	  0.86	  1.16	  1.00	  1.00	  1.07	  0.90	0	B	8	0	5812	548	487	557	496	0			0	
y744n89		POLY A	CONTROL			488	249	239	436	260	176	577	344	233	  1.36	  0.74	  1.03	  0.97	  1.00	  1.00	  1.03	  0.93	0	B	9	0	3877	93	481	102	490	0			0	
y744n89		LAMBDA	CONTROL			643	266	377	632	284	348	836	376	460	  1.08	  0.92	  0.82	  1.22	  1.00	  1.00	  0.80	  0.98	0	B	10	0	5813	558	487	567	496	0			0	
y744n89		POLY A	CONTROL			406	260	146	384	250	134	508	331	177	  1.09	  0.92	  0.82	  1.21	  1.00	  1.00	  0.94	  0.92	0	B	11	0	3878	103	481	112	490	0			0	
y744n89		LAMBDA	CONTROL			494	278	216	481	293	188	636	388	248	  1.15	  0.87	  0.87	  1.15	  1.00	  1.00	  1.03	  0.94	0	B	12	0	5814	568	487	577	496	0			0	
y744n89		SALMON SPERM	CONTROL			353	234	119	342	251	91	452	332	120	  1.31	  0.76	  0.99	  1.01	  1.00	  1.00	  1.09	  0.77	0	C	1	0	7	127	36	136	45	0			0	
y744n89		PBR322	CONTROL			609	243	366	450	287	163	595	380	215	  2.25	  0.45	  1.70	  0.59	  1.02	  0.98	  1.67	  0.86	0	C	2	0	1943	580	38	589	47	0			0	
y744n89		SALMON SPERM	CONTROL			644	260	384	483	255	228	639	337	302	  1.68	  0.59	  1.27	  0.79	  1.00	  1.00	  1.35	  0.92	0	C	3	0	8	137	36	146	45	0			0	
y744n89		PBR322	CONTROL			742	238	504	570	241	329	754	319	435	  1.53	  0.65	  1.16	  0.86	  1.00	  1.00	  1.24	  0.92	0	C	4	0	1944	590	38	599	47	0			0	
