EXP	RFLAG	NAME	TYPE	GENE	LINK	CH1I	CH1B	CH1D	CH2I	CH2B	CH2D	CH2IN	CH2BN	CH2DN	RAT1	RAT2	RAT1N	RAT2N	CRT1	CRT2	REGR	CORR	PLAT	PROW	PCOL	FLAG	SPOT	LEFT	TOP	RIGHT	BOT	FAILED	CAT	DESC	CHR	
y744n51		GENOMIC 450NG/UL	CONTROL			549	243	306	549	226	323	668	275	393	  0.95	  1.06	  0.78	  1.28	  1.00	  1.00	  0.73	  0.96	0	A	1	0	1	52	62	61	71	0			0	
y744n51		GENOMIC 150NG/UL	CONTROL			284	217	67	299	218	81	364	265	99	  0.83	  1.21	  0.68	  1.48	  1.00	  1.00	  0.18	  0.27	0	A	2	0	1937	504	61	513	70	0			0	
y744n51		GENOMIC 450NG/UL	CONTROL			429	239	190	417	244	173	507	297	210	  1.10	  0.91	  0.90	  1.11	  1.00	  1.00	  0.83	  0.94	0	A	3	0	2	62	62	71	71	0			0	
y744n51		GENOMIC 150NG/UL	CONTROL			337	211	126	362	232	130	440	282	158	  0.97	  1.03	  0.80	  1.25	  1.00	  1.00	  0.54	  0.88	0	A	4	0	1938	514	61	523	70	0			0	
y744n51		GENOMIC 50NG/UL	CONTROL			426	241	185	429	239	190	522	291	231	  0.97	  1.03	  0.80	  1.25	  1.00	  1.00	  0.71	  0.89	0	A	5	0	3	72	62	81	71	0			0	
y744n51		3XSSC	CONTROL			461	218	243	468	227	241	569	276	293	  1.01	  0.99	  0.83	  1.21	  1.00	  1.00	  0.78	  0.94	0	A	6	0	1939	524	61	533	70	0			0	
y744n51		GENOMIC 50NG/UL	CONTROL			502	265	237	1220	239	981	1485	291	1194	  0.24	  4.14	  0.20	  5.04	  0.25	  4.02	  0.12	  0.92	0	A	7	0	4	82	62	91	71	0			0	
y744n51		3XSSC	CONTROL			432	228	204	419	234	185	510	284	226	  1.10	  0.91	  0.90	  1.11	  1.00	  1.00	  0.87	  0.90	0	A	8	0	1940	534	61	543	70	0			0	
y744n51		POLY A	CONTROL			427	278	149	525	249	276	639	303	336	  0.54	  1.85	  0.44	  2.26	  0.69	  1.44	  0.34	  0.88	0	A	9	0	5	92	62	101	71	0			0	
y744n51		LAMBDA	CONTROL			521	241	280	536	240	296	652	292	360	  0.95	  1.06	  0.78	  1.29	  1.00	  1.00	  0.74	  0.91	0	A	10	0	1941	544	61	553	70	0			0	
y744n51		POLY A	CONTROL			416	277	139	368	243	125	448	295	153	  1.11	  0.90	  0.91	  1.10	  1.00	  1.00	  0.69	  0.89	0	A	11	0	6	102	62	111	71	0			0	
y744n51		LAMBDA	CONTROL			425	265	160	397	231	166	483	281	202	  0.96	  1.04	  0.79	  1.26	  1.00	  1.00	  0.79	  0.79	0	A	12	0	1942	554	61	563	70	0			0	
y744n51		GENOMIC 450NG/UL	CONTROL			439	312	127	330	239	91	401	291	110	  1.40	  0.72	  1.15	  0.87	  1.00	  1.00	  0.63	  0.83	0	B	1	0	3873	42	509	51	518	0			0	
y744n51		GENOMIC 150NG/UL	CONTROL			303	211	92	313	232	81	381	282	99	  1.14	  0.88	  0.93	  1.08	  1.00	  1.00	  0.78	  0.78	0	B	2	0	5809	506	510	515	519	0			0	
y744n51		GENOMIC 450NG/UL	CONTROL			683	309	374	608	229	379	740	278	462	  0.99	  1.01	  0.81	  1.24	  1.00	  1.00	  0.78	  0.95	0	B	3	0	3874	52	509	61	518	0			0	
y744n51		GENOMIC 150NG/UL	CONTROL			293	225	68	323	243	80	393	295	98	  0.85	  1.18	  0.69	  1.44	  1.00	  1.00	  0.40	  0.67	0	B	4	0	5810	516	510	525	519	0			0	
y744n51		GENOMIC 50NG/UL	CONTROL			677	277	400	585	241	344	712	293	419	  1.16	  0.86	  0.95	  1.05	  1.00	  1.00	  0.88	  0.96	0	B	5	0	3875	62	509	71	518	0			0	
y744n51		3XSSC	CONTROL			278	219	59	294	238	56	357	289	68	  1.05	  0.95	  0.87	  1.15	  1.00	  1.00	  0.19	  0.22	0	B	6	0	5811	526	510	535	519	0			0	
y744n51		GENOMIC 50NG/UL	CONTROL			545	269	276	518	237	281	630	288	342	  0.98	  1.02	  0.81	  1.24	  1.00	  1.00	  0.74	  0.92	0	B	7	0	3876	72	509	81	518	0			0	
y744n51		3XSSC	CONTROL			383	206	177	364	238	126	443	289	154	  1.40	  0.71	  1.15	  0.87	  1.00	  1.00	  1.16	  0.93	0	B	8	0	5812	536	510	545	519	0			0	
y744n51		POLY A	CONTROL			538	263	275	595	255	340	724	310	414	  0.81	  1.24	  0.66	  1.51	  0.89	  1.12	  0.64	  0.93	0	B	9	0	3877	82	509	91	518	0			0	
y744n51		LAMBDA	CONTROL			349	211	138	362	231	131	440	281	159	  1.05	  0.95	  0.87	  1.15	  1.00	  1.00	  0.74	  0.93	0	B	10	0	5813	546	510	555	519	0			0	
y744n51		POLY A	CONTROL			660	240	420	661	241	420	804	293	511	  1.00	  1.00	  0.82	  1.22	  1.00	  1.00	  0.77	  0.87	0	B	11	0	3878	92	509	101	518	0			0	
y744n51		LAMBDA	CONTROL			421	207	214	423	224	199	515	272	243	  1.08	  0.93	  0.88	  1.14	  1.00	  1.00	  0.87	  0.90	0	B	12	0	5814	556	510	565	519	0			0	
y744n51		SALMON SPERM	CONTROL			473	272	201	363	228	135	442	277	165	  1.49	  0.67	  1.22	  0.82	  1.00	  1.00	  1.49	  0.59	0	C	1	0	7	112	62	121	71	0			0	
y744n51		PBR322	CONTROL			487	254	233	440	235	205	535	286	249	  1.14	  0.88	  0.94	  1.07	  1.00	  1.00	  0.92	  0.91	0	C	2	0	1943	564	61	573	70	0			0	
y744n51		SALMON SPERM	CONTROL			505	264	241	439	234	205	534	284	250	  1.18	  0.85	  0.96	  1.04	  1.00	  1.00	  0.90	  0.91	0	C	3	0	8	122	62	131	71	0			0	
y744n51		PBR322	CONTROL			584	226	358	522	231	291	635	281	354	  1.23	  0.81	  1.01	  0.99	  1.00	  1.00	  1.05	  0.93	0	C	4	0	1944	574	61	583	70	0			0	
y744n51		PKRX PLASMID CONTAINING LACZ	CONTROL			374	254	120	354	235	119	431	286	145	  1.01	  0.99	  0.83	  1.21	  1.00	  1.00	  0.72	  0.86	0	C	5	0	9	132	62	141	71	0			0	
y744n51		PKRX PLASMID CONTAINING LACZ	CONTROL			421	222	199	379	228	151	461	277	184	  1.32	  0.76	  1.08	  0.92	  1.00	  1.00	  1.24	  0.92	0	C	6	0	1945	584	61	593	70	0			0	
y744n51		PLASMID CONTAINING GFP	CONTROL			316	231	85	331	239	92	403	291	112	  0.92	  1.08	  0.76	  1.32	  1.00	  1.00	  0.26	  0.50	0	C	7	0	10	142	62	151	71	0			0	
y744n51		PLASMID CONTAINING GFP	CONTROL			399	216	183	342	238	104	416	289	127	  1.76	  0.57	  1.44	  0.69	  1.00	  1.00	  1.37	  0.75	0	C	8	0	1946	594	61	603	70	0			0	
y744n51		3XSSC	CONTROL			366	224	142	374	240	134	455	292	163	  1.06	  0.94	  0.87	  1.15	  1.00	  1.00	  0.85	  0.95	0	C	9	0	11	152	62	161	71	0			0	
y744n51		3XSSC	CONTROL			322	208	114	322	222	100	392	270	122	  1.14	  0.88	  0.93	  1.07	  1.00	  1.00	  0.88	  0.82	0	C	10	0	1947	604	61	613	70	0			0	
y744n51		3XSSC	CONTROL			309	206	103	322	237	85	392	288	104	  1.21	  0.83	  0.99	  1.01	  1.00	  1.00	  0.90	  0.74	0	C	11	0	12	162	62	171	71	0			0	
y744n51		3XSSC	CONTROL			334	217	117	320	216	104	389	263	126	  1.12	  0.89	  0.93	  1.08	  1.00	  1.00	  0.96	  0.87	0	C	12	0	1948	614	61	623	70	0			0	
y744n51		SALMON SPERM	CONTROL			430	223	207	382	237	145	465	288	177	  1.43	  0.70	  1.17	  0.86	  1.00	  1.00	  1.03	  0.91	0	D	1	0	3879	102	509	111	518	0			0	
y744n51		PBR322	CONTROL			383	234	149	368	226	142	448	275	173	  1.05	  0.95	  0.86	  1.16	  1.00	  1.00	  0.83	  0.83	0	D	2	0	5815	566	510	575	519	0			0	
y744n51		SALMON SPERM	CONTROL			565	227	338	494	233	261	601	283	318	  1.30	  0.77	  1.06	  0.94	  1.00	  1.00	  1.05	  0.94	0	D	3	0	3880	112	509	121	518	0			0	
y744n51		PBR322	CONTROL			541	225	316	477	234	243	580	284	296	  1.30	  0.77	  1.07	  0.94	  1.00	  1.00	  1.00	  0.94	0	D	4	0	5816	576	510	585	519	0			0	
y744n51		PKRX PLASMID CONTAINING LACZ	CONTROL			450	241	209	420	229	191	511	278	233	  1.09	  0.91	  0.90	  1.11	  1.00	  1.00	  0.95	  0.92	0	D	5	0	3881	122	509	131	518	0			0	
y744n51		PKRX PLASMID CONTAINING LACZ	CONTROL			350	218	132	330	226	104	401	275	126	  1.27	  0.79	  1.05	  0.95	  1.00	  1.00	  0.88	  0.77	0	D	6	0	5817	586	510	595	519	0			0	
y744n51		PLASMID CONTAINING GFP	CONTROL			474	231	243	436	218	218	530	265	265	  1.11	  0.90	  0.92	  1.09	  1.00	  1.00	  0.88	  0.91	0	D	7	0	3882	132	509	141	518	0			0	
y744n51		PLASMID CONTAINING GFP	CONTROL			337	228	109	320	218	102	389	265	124	  1.07	  0.94	  0.88	  1.14	  1.00	  1.00	  1.19	  0.91	0	D	8	0	5818	596	510	605	519	0			0	
y744n51		3XSSC	CONTROL			343	228	115	330	218	112	401	265	136	  1.03	  0.97	  0.85	  1.18	  1.00	  1.00	  0.69	  0.73	0	D	9	0	3883	142	509	151	518	0			0	
y744n51		3XSSC	CONTROL			344	217	127	441	227	214	536	276	260	  0.59	  1.69	  0.49	  2.05	  0.84	  1.18	  0.07	  0.39	0	D	10	0	5819	606	510	615	519	0			0	
y744n51		3XSSC	CONTROL			459	219	240	447	224	223	544	272	272	  1.08	  0.93	  0.88	  1.13	  1.00	  1.00	  0.78	  0.92	0	D	11	0	3884	152	509	161	518	0			0	
y744n51		3XSSC	CONTROL			339	201	138	339	216	123	412	263	149	  1.12	  0.89	  0.93	  1.08	  1.00	  1.00	  0.84	  0.86	0	D	12	0	5820	616	510	625	519	0			0	
y744n51		3XSSC	CONTROL			286	221	65	289	231	58	351	281	70	  1.12	  0.89	  0.93	  1.08	  1.00	  1.00	 -0.09	 -0.11	0	E	1	0	13	172	62	181	71	0			0	
y744n51		GENOMIC 50NG/UL	CONTROL			298	210	88	306	221	85	372	269	103	  1.04	  0.97	  0.85	  1.17	  1.00	  1.00	  0.81	  0.70	0	E	2	0	1949	624	61	633	70	0			0	
y744n51		3XSSC	CONTROL			326	212	114	357	226	131	434	275	159	  0.87	  1.15	  0.72	  1.39	  1.00	  1.00	  0.49	  0.96	0	E	3	0	14	182	62	191	71	0			0	
y744n51		GENOMIC 50NG/UL	CONTROL			274	209	65	284	210	74	345	255	90	  0.88	  1.14	  0.72	  1.38	  1.00	  1.00	  0.14	  0.18	0	E	4	0	1950	634	61	643	70	0			0	
