EXP	RFLAG	NAME	TYPE	GENE	LINK	CH1I	CH1B	CH1D	CH2I	CH2B	CH2D	CH2IN	CH2BN	CH2DN	RAT1	RAT2	RAT1N	RAT2N	CRT1	CRT2	REGR	CORR	PLAT	PROW	PCOL	FLAG	SPOT	LEFT	TOP	RIGHT	BOT	FAILED	CAT	DESC	CHR	
y744n96		GENOMIC 450NG/UL	CONTROL			788	525	263	1492	1032	460	2108	1458	650	  0.57	  1.75	  0.40	  2.47	  1.00	  1.00	  0.34	  0.88	0	A	1	0	1	70	23	79	32	0			0	
y744n96		GENOMIC 150NG/UL	CONTROL			554	426	128	908	750	158	1283	1060	223	  0.81	  1.23	  0.57	  1.74	  1.00	  1.00	  0.17	  0.34	0	A	2	0	1937	523	24	532	33	0			0	
y744n96		GENOMIC 450NG/UL	CONTROL			810	525	285	1559	1087	472	2203	1536	667	  0.60	  1.66	  0.43	  2.34	  1.00	  1.00	  0.43	  0.88	0	A	3	0	2	80	23	89	32	0			0	
y744n96		GENOMIC 150NG/UL	CONTROL			592	463	129	923	776	147	1304	1096	208	  0.88	  1.14	  0.62	  1.61	  1.00	  1.00	  0.29	  0.52	0	A	4	0	1938	533	24	542	33	0			0	
y744n96		GENOMIC 50NG/UL	CONTROL			901	575	326	1723	1247	476	2435	1762	673	  0.68	  1.46	  0.48	  2.06	  1.00	  1.00	  0.45	  0.84	0	A	5	0	3	90	23	99	32	0			0	
y744n96		3XSSC	CONTROL			608	475	133	952	773	179	1345	1092	253	  0.74	  1.35	  0.53	  1.90	  1.00	  1.00	  0.43	  0.64	0	A	6	0	1939	543	24	552	33	0			0	
y744n96		GENOMIC 50NG/UL	CONTROL			686	199	487	1335	254	1081	1886	359	1527	  0.45	  2.22	  0.32	  3.14	  0.63	  1.59	  0.28	  0.91	0	A	7	0	4	100	23	109	32	0			0	
y744n96		3XSSC	CONTROL			848	484	364	1338	765	573	1891	1081	810	  0.64	  1.57	  0.45	  2.23	  1.00	  1.00	  0.45	  0.93	0	A	8	0	1940	553	24	562	33	0			0	
y744n96		POLY A	CONTROL			622	163	459	1088	221	867	1537	312	1225	  0.53	  1.89	  0.37	  2.67	  0.85	  1.17	  0.39	  0.84	0	A	9	0	5	110	23	119	32	0			0	
y744n96		LAMBDA	CONTROL			917	466	451	1482	741	741	2094	1047	1047	  0.61	  1.64	  0.43	  2.32	  1.00	  1.00	  0.45	  0.95	0	A	10	0	1941	563	24	572	33	0			0	
y744n96		POLY A	CONTROL			654	181	473	1262	229	1033	1783	323	1460	  0.46	  2.18	  0.32	  3.09	  0.66	  1.52	  0.33	  0.91	0	A	11	0	6	120	23	129	32	0			0	
y744n96		LAMBDA	CONTROL			768	471	297	1158	789	369	1636	1115	521	  0.80	  1.24	  0.57	  1.75	  1.00	  1.00	  0.51	  0.85	0	A	12	0	1942	573	24	582	33	0			0	
y744n96		GENOMIC 450NG/UL	CONTROL			344	253	91	418	298	120	590	421	169	  0.76	  1.32	  0.54	  1.86	  1.00	  1.00	  0.27	  0.52	0	B	1	0	3873	59	470	68	479	0			0	
y744n96		GENOMIC 150NG/UL	CONTROL			329	233	96	357	275	82	504	388	116	  1.17	  0.85	  0.83	  1.21	  1.00	  1.00	  0.49	  0.55	0	B	2	0	5809	523	473	532	482	0			0	
y744n96		GENOMIC 450NG/UL	CONTROL			381	241	140	423	304	119	597	429	168	  1.18	  0.85	  0.83	  1.20	  1.00	  1.00	  0.84	  0.56	0	B	3	0	3874	69	470	78	479	0			0	
y744n96		GENOMIC 150NG/UL	CONTROL			316	239	77	342	265	77	483	374	109	  1.00	  1.00	  0.71	  1.42	  1.00	  1.00	 -0.02	 -0.03	0	B	4	0	5810	533	473	542	482	0			0	
y744n96		GENOMIC 50NG/UL	CONTROL			369	242	127	402	279	123	568	394	174	  1.03	  0.97	  0.73	  1.37	  1.00	  1.00	  0.89	  0.85	0	B	5	0	3875	79	470	88	479	0			0	
y744n96		3XSSC	CONTROL			319	250	69	340	258	82	480	364	116	  0.84	  1.19	  0.59	  1.68	  1.00	  1.00	  0.03	  0.07	0	B	6	0	5811	543	473	552	482	0			0	
y744n96		GENOMIC 50NG/UL	CONTROL			487	253	234	499	302	197	705	426	279	  1.19	  0.84	  0.84	  1.19	  1.00	  1.00	  0.84	  0.93	0	B	7	0	3876	89	470	98	479	0			0	
y744n96		3XSSC	CONTROL			406	237	169	393	268	125	555	378	177	  1.35	  0.74	  0.95	  1.05	  1.00	  1.00	  0.89	  0.86	0	B	8	0	5812	553	473	562	482	0			0	
y744n96		POLY A	CONTROL			455	253	202	513	319	194	725	450	275	  1.04	  0.96	  0.73	  1.36	  1.00	  1.00	  0.57	  0.87	0	B	9	0	3877	99	470	108	479	0			0	
y744n96		LAMBDA	CONTROL			421	249	172	426	268	158	602	378	224	  1.09	  0.92	  0.77	  1.30	  1.00	  1.00	  0.82	  0.92	0	B	10	0	5813	563	473	572	482	0			0	
y744n96		POLY A	CONTROL			456	275	181	475	313	162	671	442	229	  1.12	  0.90	  0.79	  1.27	  1.00	  1.00	  0.76	  0.85	0	B	11	0	3878	109	470	118	479	0			0	
y744n96		LAMBDA	CONTROL			402	263	139	394	261	133	556	368	188	  1.05	  0.96	  0.74	  1.35	  1.00	  1.00	  0.81	  0.81	0	B	12	0	5814	573	473	582	482	0			0	
y744n96		SALMON SPERM	CONTROL			766	226	540	1356	293	1063	1916	414	1502	  0.51	  1.97	  0.36	  2.78	  0.70	  1.43	  0.40	  0.73	0	C	1	0	7	130	23	139	32	0			0	
y744n96		PBR322	CONTROL			1270	526	744	1416	805	611	2001	1137	864	  1.22	  0.82	  0.86	  1.16	  1.00	  1.00	  0.95	  0.91	0	C	2	0	1943	583	24	592	33	0			0	
y744n96		SALMON SPERM	CONTROL			1118	252	866	1595	412	1183	2254	582	1672	  0.73	  1.37	  0.52	  1.93	  0.87	  1.14	  0.68	  0.82	0	C	3	0	8	140	23	149	32	0			0	
y744n96		PBR322	CONTROL			864	431	433	1096	746	350	1549	1054	495	  1.24	  0.81	  0.87	  1.14	  1.00	  1.00	  0.78	  0.90	0	C	4	0	1944	593	24	602	33	0			0	
y744n96		PKRX PLASMID CONTAINING LACZ	CONTROL			907	508	399	1779	809	970	2514	1143	1371	  0.41	  2.43	  0.29	  3.44	  0.64	  1.56	  0.36	  0.85	0	C	5	0	9	150	23	159	32	0			0	
y744n96		PKRX PLASMID CONTAINING LACZ	CONTROL			686	437	249	1034	744	290	1461	1051	410	  0.86	  1.16	  0.61	  1.65	  1.00	  1.00	  0.57	  0.86	0	C	6	0	1945	603	24	612	33	0			0	
y744n96		PLASMID CONTAINING GFP	CONTROL			914	625	289	1828	1166	662	2583	1648	935	  0.44	  2.29	  0.31	  3.24	  1.00	  1.00	  0.34	  0.78	0	C	7	0	10	160	23	169	32	0			0	
y744n96		PLASMID CONTAINING GFP	CONTROL			807	403	404	1278	714	564	1806	1009	797	  0.72	  1.40	  0.51	  1.97	  1.00	  1.00	  0.46	  0.93	0	C	8	0	1946	613	24	622	33	0			0	
y744n96		3XSSC	CONTROL			1009	659	350	1979	1338	641	2797	1891	906	  0.55	  1.83	  0.39	  2.59	  1.00	  1.00	  0.39	  0.85	0	C	9	0	11	170	23	179	32	0			0	
y744n96		3XSSC	CONTROL			775	452	323	1283	782	501	1813	1105	708	  0.64	  1.55	  0.46	  2.19	  1.00	  1.00	  0.44	  0.93	0	C	10	0	1947	623	24	632	33	0			0	
y744n96		3XSSC	CONTROL			953	730	223	1974	1589	385	2790	2245	545	  0.58	  1.73	  0.41	  2.44	  1.00	  1.00	  0.36	  0.83	0	C	11	0	12	180	23	189	32	0			0	
y744n96		3XSSC	CONTROL			1073	479	594	1664	855	809	2351	1208	1143	  0.73	  1.36	  0.52	  1.92	  1.00	  1.00	  0.49	  0.94	0	C	12	0	1948	633	24	642	33	0			0	
y744n96		SALMON SPERM	CONTROL			623	346	277	525	374	151	742	528	214	  1.83	  0.55	  1.29	  0.77	  1.00	  1.00	  1.23	  0.86	0	D	1	0	3879	119	470	128	479	0			0	
y744n96		PBR322	CONTROL			415	238	177	377	249	128	532	351	181	  1.38	  0.72	  0.98	  1.02	  1.00	  1.00	  1.16	  0.86	0	D	2	0	5815	583	473	592	482	0			0	
y744n96		SALMON SPERM	CONTROL			817	430	387	648	400	248	915	565	350	  1.56	  0.64	  1.11	  0.90	  1.00	  1.00	  1.07	  0.92	0	D	3	0	3880	129	470	138	479	0			0	
y744n96		PBR322	CONTROL			487	242	245	433	250	183	612	353	259	  1.34	  0.75	  0.95	  1.06	  1.00	  1.00	  1.04	  0.94	0	D	4	0	5816	593	473	602	482	0			0	
y744n96		PKRX PLASMID CONTAINING LACZ	CONTROL			624	402	222	524	355	169	740	501	239	  1.31	  0.76	  0.93	  1.08	  1.00	  1.00	  0.83	  0.84	0	D	5	0	3881	139	470	148	479	0			0	
y744n96		PKRX PLASMID CONTAINING LACZ	CONTROL			480	262	218	464	275	189	655	388	267	  1.15	  0.87	  0.82	  1.22	  1.00	  1.00	  0.88	  0.90	0	D	6	0	5817	603	473	612	482	0			0	
y744n96		PLASMID CONTAINING GFP	CONTROL			657	427	230	560	361	199	791	510	281	  1.16	  0.87	  0.82	  1.22	  1.00	  1.00	  0.84	  0.85	0	D	7	0	3882	149	470	158	479	0			0	
y744n96		PLASMID CONTAINING GFP	CONTROL			389	262	127	400	279	121	565	394	171	  1.05	  0.95	  0.74	  1.35	  1.00	  1.00	  0.95	  0.92	0	D	8	0	5818	613	473	622	482	0			0	
y744n96		3XSSC	CONTROL			552	379	173	500	370	130	706	522	184	  1.33	  0.75	  0.94	  1.06	  1.00	  1.00	  0.71	  0.74	0	D	9	0	3883	159	470	168	479	0			0	
y744n96		3XSSC	CONTROL			400	251	149	426	273	153	602	385	217	  0.97	  1.03	  0.69	  1.46	  1.00	  1.00	  0.86	  0.83	0	D	10	0	5819	623	473	632	482	0			0	
y744n96		3XSSC	CONTROL			721	373	348	564	370	194	797	522	275	  1.79	  0.56	  1.27	  0.79	  1.00	  1.00	  1.42	  0.67	0	D	11	0	3884	169	470	178	479	0			0	
y744n96		3XSSC	CONTROL			377	252	125	405	290	115	572	409	163	  1.09	  0.92	  0.77	  1.30	  1.00	  1.00	  0.80	  0.82	0	D	12	0	5820	633	473	642	482	0			0	
y744n96		3XSSC	CONTROL			954	779	175	1932	1693	239	2730	2392	338	  0.73	  1.37	  0.52	  1.93	  1.00	  1.00	  0.40	  0.54	0	E	1	0	13	190	23	199	32	0			0	
y744n96		GENOMIC 50NG/UL	CONTROL			702	443	259	1072	788	284	1515	1113	402	  0.91	  1.10	  0.64	  1.55	  1.00	  1.00	  0.53	  0.77	0	E	2	0	1949	643	24	652	33	0			0	
y744n96		3XSSC	CONTROL			968	772	196	1959	1650	309	2768	2332	436	  0.63	  1.58	  0.45	  2.22	  1.00	  1.00	  0.35	  0.61	0	E	3	0	14	200	23	209	32	0			0	
y744n96		GENOMIC 50NG/UL	CONTROL			491	390	101	778	642	136	1099	907	192	  0.74	  1.35	  0.53	  1.90	  1.00	  1.00	  0.17	  0.29	0	E	4	0	1950	653	24	662	33	0			0	
y744n96		GENOMIC 150NG/UL	CONTROL			1107	806	301	2219	1745	474	3136	2466	670	  0.64	  1.57	  0.45	  2.23	  1.00	  1.00	  0.48	  0.80	0	E	5	0	15	210	23	219	32	0			0	
y744n96		GENOMIC 450NG/UL	CONTROL			742	414	328	1063	705	358	1502	996	506	  0.92	  1.09	  0.65	  1.54	  1.00	  1.00	  0.53	  0.72	0	E	6	0	1951	663	24	672	33	0			0	
y744n96		GENOMIC 150NG/UL	CONTROL			1368	786	582	2517	1752	765	3557	2476	1081	  0.76	  1.31	  0.54	  1.86	  1.00	  1.00	  0.59	  0.95	0	E	7	0	16	220	23	229	32	0			0	
y744n96		GENOMIC 450NG/UL	CONTROL			503	406	97	792	664	128	1119	938	181	  0.76	  1.32	  0.54	  1.87	  1.00	  1.00	  0.03	  0.07	0	E	8	0	1952	673	24	682	33	0			0	
y744n96		3XSSC	CONTROL			1003	821	182	2118	1744	374	2993	2465	528	  0.49	  2.05	  0.34	  2.90	  1.00	  1.00	  0.27	  0.57	0	E	9	0	17	230	23	239	32	0			0	
y744n96		3XSSC	CONTROL			552	374	178	783	661	122	1106	934	172	  1.46	  0.69	  1.03	  0.97	  1.00	  1.00	  0.56	  0.50	0	E	10	0	1953	683	24	692	33	0			0	
y744n96		3XSSC	CONTROL			997	819	178	2061	1690	371	2913	2388	525	  0.48	  2.08	  0.34	  2.95	  1.00	  1.00	  0.21	  0.46	0	E	11	0	18	240	23	249	32	0			0	
y744n96		3XSSC	CONTROL			556	370	186	786	598	188	1110	845	265	  0.99	  1.01	  0.70	  1.42	  1.00	  1.00	  0.59	  0.76	0	E	12	0	1954	693	24	702	33	0			0	
y744n96		3XSSC	CONTROL			526	358	168	480	359	121	678	507	171	  1.39	  0.72	  0.98	  1.02	  1.00	  1.00	  0.83	  0.74	0	F	1	0	3885	179	470	188	479	0			0	
y744n96		GENOMIC 50NG/UL	CONTROL			395	257	138	571	300	271	807	424	383	  0.51	  1.96	  0.36	  2.78	  1.00	  1.00	  0.11	  0.89	0	F	2	0	5821	643	473	652	482	0			0	
y744n96		3XSSC	CONTROL			601	379	222	531	355	176	750	501	249	  1.26	  0.79	  0.89	  1.12	  1.00	  1.00	  0.79	  0.74	0	F	3	0	3886	189	470	198	479	0			0	
y744n96		GENOMIC 50NG/UL	CONTROL			350	255	95	364	281	83	514	397	117	  1.14	  0.87	  0.81	  1.23	  1.00	  1.00	  1.00	  0.75	0	F	4	0	5822	653	473	662	482	0			0	
y744n96		GENOMIC 150NG/UL	CONTROL			642	353	289	490	307	183	692	433	259	  1.58	  0.63	  1.12	  0.90	  1.00	  1.00	  1.05	  0.61	0	F	5	0	3887	199	470	208	479	0			0	
y744n96		GENOMIC 450NG/UL	CONTROL			323	247	76	351	275	76	496	388	108	  1.00	  1.00	  0.70	  1.42	  1.00	  1.00	  0.07	  0.23	0	F	6	0	5823	663	473	672	482	0			0	
y744n96		GENOMIC 150NG/UL	CONTROL			431	304	127	420	302	118	593	426	167	  1.08	  0.93	  0.76	  1.31	  1.00	  1.00	  1.07	  0.90	0	F	7	0	3888	209	470	218	479	0			0	
y744n96		GENOMIC 450NG/UL	CONTROL			470	252	218	434	265	169	613	374	239	  1.29	  0.78	  0.91	  1.10	  1.00	  1.00	  1.14	  0.93	0	F	8	0	5824	673	473	682	482	0			0	
y744n96		3XSSC	CONTROL			729	321	408	623	317	306	880	448	432	  1.33	  0.75	  0.94	  1.06	  1.00	  1.00	  0.90	  0.95	0	F	9	0	3889	219	470	228	479	0			0	
y744n96		3XSSC	CONTROL			323	234	89	364	285	79	514	402	112	  1.13	  0.89	  0.79	  1.26	  1.00	  1.00	  0.33	  0.46	0	F	10	0	5825	683	473	692	482	0			0	
y744n96		3XSSC	CONTROL			700	317	383	667	322	345	942	455	487	  1.11	  0.90	  0.79	  1.27	  1.00	  1.00	  0.51	  0.91	0	F	11	0	3890	229	470	238	479	0			0	
y744n96		3XSSC	CONTROL			360	254	106	381	290	91	538	409	129	  1.16	  0.86	  0.82	  1.22	  1.00	  1.00	  0.37	  0.74	0	F	12	0	5826	693	473	702	482	0			0	
y744n96		3XSSC	CONTROL			19769	938	18831	2303	1799	504	3255	2542	713	 37.36	  0.03	 26.41	  0.04	 15.51	  0.06	 20.65	  0.50	0	G	1	0	19	250	23	259	32	0			0	
y744n96		3XSSC	CONTROL			550	329	221	781	558	223	1103	788	315	  0.99	  1.01	  0.70	  1.43	  1.00	  1.00	  0.66	  0.85	0	G	2	0	1955	703	24	712	33	0			0	
y744n96		3XSSC	CONTROL			1358	925	433	3623	1963	1660	5120	2774	2346	  0.26	  3.83	  0.18	  5.42	  0.32	  3.09	  0.15	  0.87	0	G	3	0	20	260	23	269	32	0			0	
y744n96		3XSSC	CONTROL			530	316	214	768	534	234	1085	754	331	  0.91	  1.09	  0.65	  1.55	  1.00	  1.00	  0.60	  0.83	0	G	4	0	1956	713	24	722	33	0			0	
y744n96		3XSSC	CONTROL			1010	854	156	2162	1855	307	3055	2621	434	  0.51	  1.97	  0.36	  2.78	  1.00	  1.00	  0.08	  0.17	0	G	5	0	21	270	23	279	32	0			0	
y744n96		GENOMIC	CONTROL			523	335	188	767	560	207	1084	791	293	  0.91	  1.10	  0.64	  1.56	  1.00	  1.00	  0.68	  0.87	0	G	6	0	1957	723	24	732	33	0			0	
y744n96		3XSSC	CONTROL			1549	905	644	4136	2016	2120	5845	2849	2996	  0.30	  3.29	  0.21	  4.65	  0.32	  3.09	  0.20	  0.84	0	G	7	0	22	280	23	289	32	0			0	
y744n96		GENOMIC	CONTROL			515	325	190	800	588	212	1130	831	299	  0.90	  1.12	  0.64	  1.57	  1.00	  1.00	  0.62	  0.87	0	G	8	0	1958	733	24	742	33	0			0	
y744n96		LABELLED DNA (CY5)	CONTROL			1080	911	169	2216	1830	386	3132	2586	546	  0.44	  2.28	  0.31	  3.23	  1.00	  1.00	  0.27	  0.76	0	G	9	0	23	291	24	300	33	0			0	
y744n96		LABELLED DNA (CY3)	CONTROL			993	355	638	1289	587	702	1821	829	992	  0.91	  1.10	  0.64	  1.55	  1.00	  1.00	  0.61	  0.90	0	G	10	0	1959	744	24	753	33	0			0	
y744n96		LABELLED DNA (CY5)	CONTROL			1045	863	182	2091	1708	383	2955	2414	541	  0.48	  2.10	  0.34	  2.97	  1.00	  1.00	  0.16	  0.38	0	G	11	0	24	301	24	310	33	0			0	
y744n96		LABELLED DNA (CY3)	CONTROL			855	349	506	1177	585	592	1663	826	837	  0.85	  1.17	  0.60	  1.65	  1.00	  1.00	  0.57	  0.95	0	G	12	0	1960	754	24	763	33	0			0	
y744n96		3XSSC	CONTROL			23121	396	22725	1104	320	784	1560	452	1108	 28.99	  0.03	 20.51	  0.05	 14.12	  0.07	 17.46	  0.85	0	H	1	0	3891	239	470	248	479	0			0	
y744n96		3XSSC	CONTROL			6118	271	5847	374	285	89	528	402	126	 65.70	  0.02	 46.40	  0.02	  9.22	  0.11	 84.02	  0.71	0	H	2	0	5827	703	473	712	482	0			0	
